,stars,url,forks,language,size,subscribers,network,issues,watchers,pulls,commits,private,license
206,28833,https://github.com/ariya/phantomjs.git,5827,C++,164709,1149,5827,13,28833,0,1958,False,"BSD 3-Clause ""New"" or ""Revised"" License"
207,28729,https://github.com/date-fns/date-fns.git,1446,TypeScript,17417,213,1446,402,28729,83,1873,False,MIT License
208,28591,https://github.com/poteto/hiring-without-whiteboards.git,2516,JavaScript,4210,615,2516,38,28591,29,1742,False,MIT License
209,28541,https://github.com/fxsjy/jieba.git,6556,Python,56033,1292,6556,642,28541,51,523,False,MIT License
210,30355,https://github.com/shadowsocks/ShadowsocksX-NG.git,7960,Swift,50769,965,7960,255,30355,5,584,False,GNU General Public License v3.0
225,29335,https://github.com/excalidraw/excalidraw.git,2367,TypeScript,34678,249,2367,642,29335,109,2636,False,MIT License
228,29209,https://github.com/netty/netty.git,14492,Java,79112,1792,14492,521,29209,22,10820,False,Apache License 2.0
235,28591,https://github.com/poteto/hiring-without-whiteboards.git,2516,JavaScript,4210,615,2516,38,28592,29,1742,False,MIT License
237,28497,https://github.com/cli/cli.git,3712,Go,25241,707,3712,370,28497,28,5592,False,MIT License
238,28475,https://github.com/LeCoupa/awesome-cheatsheets.git,4629,JavaScript,8930,671,4629,60,28475,42,715,False,MIT License
239,28446,https://github.com/react-boilerplate/react-boilerplate.git,6057,JavaScript,8778,553,6057,97,28446,38,1457,False,MIT License
240,28343,https://github.com/dotnet/aspnetcore.git,7825,C#,316345,1440,7825,2307,28343,59,49319,False,MIT License
241,28195,https://github.com/react-hook-form/react-hook-form.git,1369,TypeScript,26835,171,1369,7,28195,6,3187,False,MIT License
242,28115,https://github.com/romkatv/powerlevel10k.git,1506,Shell,74812,160,1506,28,28115,6,4026,False,MIT License
243,27871,https://github.com/jashkenas/backbone.git,5596,JavaScript,27054,1330,5596,72,27871,27,3450,False,MIT License
244,27817,https://github.com/shengxinjing/programmer-job-blacklist.git,1867,Shell,329,1259,1867,155,27817,9,147,False,MIT License
245,27786,https://github.com/codepath/android_guides.git,6469,None,1100,2164,6469,158,27786,3,62,False,MIT License
246,27793,https://github.com/mathiasbynens/dotfiles.git,8748,Shell,836,723,8748,183,27793,51,761,False,MIT License
247,27554,https://github.com/caolan/async.git,2440,JavaScript,6636,681,2440,6,27554,1,1864,False,MIT License
248,27552,https://github.com/vuejs/vuex.git,9472,JavaScript,16800,792,9472,139,27552,53,1201,False,MIT License
249,27533,https://github.com/junegunn/vim-plug.git,1731,Vim script,8857,374,1731,101,27533,14,684,False,MIT License
250,27485,https://github.com/kenwheeler/slick.git,5900,JavaScript,3655,577,5900,1347,27485,208,921,False,MIT License
251,27488,https://github.com/alibaba/p3c.git,7554,Kotlin,27110,1326,7554,108,27488,22,290,False,Apache License 2.0
252,27384,https://github.com/jesseduffield/lazygit.git,1081,Go,37622,246,1081,333,27384,21,3231,False,MIT License
253,27324,https://github.com/psf/black.git,1742,Python,6159,219,1742,340,27324,29,1337,False,MIT License
254,27243,https://github.com/pyenv/pyenv.git,2446,Roff,4330,381,2446,36,27243,4,2843,False,MIT License
255,27304,https://github.com/tannerlinsley/react-query.git,1557,TypeScript,27581,175,1557,32,27304,12,1483,False,MIT License
256,27086,https://github.com/mitmproxy/mitmproxy.git,3336,Python,53621,613,3336,246,27086,17,9862,False,MIT License
257,26993,https://github.com/standard/standard.git,2221,JavaScript,3344,471,2221,80,26993,8,1931,False,MIT License
258,27020,https://github.com/ReactiveX/rxjs.git,2791,TypeScript,122206,451,2791,243,27020,51,5010,False,Apache License 2.0
259,26983,https://github.com/laravel/framework.git,9205,PHP,66463,1022,9205,10,26983,8,33674,False,MIT License
260,27128,https://github.com/Dreamacro/clash.git,3821,Go,1467,464,3821,67,27128,5,751,False,GNU General Public License v3.0
261,26943,https://github.com/amix/vimrc.git,6938,Vim script,21784,790,6938,29,26943,5,441,False,MIT License
262,26869,https://github.com/symfony/symfony.git,8710,PHP,225760,1155,8710,705,26869,200,60467,False,MIT License
263,26858,https://github.com/elsewhencode/project-guidelines.git,2966,JavaScript,482,623,2966,11,26858,2,168,False,MIT License
264,26848,https://github.com/naptha/tesseract.js.git,1814,JavaScript,105160,479,1814,134,26848,22,627,False,Apache License 2.0
